lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta0,log_sig_sq
-414158.5558370463,0.7224060232870714,0.23061315334997615,4.0,15.0,0.0,414167.6269839714,-1.006326011754471,3.615401286962209,0.5343647155403669,-6.874351377559088,4.245513874174544,1.6068576849641796,4.008139505548769,2.9390780048926635,-1.4589509377786614,-0.4606501102038429,9.980109500568695,7.400746834933527
-414157.09476588754,0.9989864505748529,0.23061315334997615,4.0,15.0,0.0,414162.7527321919,-0.8682449588116483,3.5037901141791266,0.6499474510591476,-6.454700571707343,3.9737485238568064,1.4511471245293164,4.0577289248389015,2.971393118246447,-1.5023013666310094,-0.5521088273275958,9.957158686443984,7.389510857640341
-414158.84444439056,0.9062052871555416,0.23061315334997615,4.0,15.0,0.0,414163.51041555934,-1.2067409005258025,3.6420594849033527,0.6170501008874926,-6.615424202755895,3.7381161285607263,1.7882721024291948,4.552333036482953,3.0231331510654305,-1.5699247543410022,-0.4896821387482389,9.928706912783804,7.399330823255669
-414159.2498813782,0.9709727249413133,0.23061315334997615,4.0,15.0,0.0,414165.6902672063,-0.8070004241007807,3.580497244722615,0.6415919715870693,-6.665642322184664,4.174580356045219,1.431537658546036,4.000348511433189,2.923418251747477,-1.5375470254808856,-0.29830346772915456,10.02972405601108,7.384125732661383
-414155.8810465527,0.9928612867364269,0.23061315334997615,4.0,31.0,0.0,414162.66157145036,-1.0528561777359555,3.8216314381361816,0.4984537325058825,-6.155430666280253,3.665964845934294,1.7480722303468619,4.152968860794239,2.9465525680430997,-1.3771964214755883,-0.27547166949519375,9.945320687511881,7.396234048228522
-414155.8098556265,0.9127694305106743,0.23061315334997615,4.0,15.0,0.0,414160.2669044161,-0.9306144428824475,3.5618461525687324,0.5976677400908456,-6.807945115734017,3.8739093100470763,1.4868627517855049,4.6358013623852505,2.811989181932225,-1.5720920655531847,-0.2974658080672947,9.785781903476215,7.390431653041747
-414155.8566861156,0.9417555461315932,0.23061315334997615,4.0,15.0,0.0,414159.2011654639,-1.0341608939978562,3.832615253431115,0.5149337058939008,-6.945312669525834,4.011275181655441,1.6641070335043835,4.51309190338569,3.0051594155107697,-1.2564407490896141,-0.2630280609393673,10.111523702392285,7.394423999571324
-414157.5565004022,0.9956860848871958,0.23061315334997615,4.0,15.0,0.0,414161.0696350263,-0.8029294921996478,3.932612227543542,0.6025863032770059,-7.052506311642243,3.9678326533236947,1.3227385899939126,4.631830882128157,2.913092569353322,-1.4002397389639538,-0.3693798112796107,10.033960946623194,7.390929151163005
-414156.09991142276,0.9834589760852825,0.23061315334997615,4.0,15.0,0.0,414160.59161375114,-0.9503482966454226,3.841093785254207,0.6485538726245045,-6.725030522000719,3.826557364666028,1.3739211005724443,4.493901533812612,3.069286672352441,-1.3731907727186323,-0.3800857434910857,9.94202270875591,7.398259909632305
-414157.9615357469,0.9349105928850344,0.23061315334997615,4.0,15.0,0.0,414162.3175718612,-0.9901440608730018,3.826514264760651,0.9023251609298861,-6.887318471228649,4.218246802681641,1.5627519827916323,4.179607284021862,2.780697169981041,-1.3337999993119583,-0.4026662972017178,9.869703614733899,7.392053468034302
-414157.8071262916,0.9948223579510542,0.23061315334997615,4.0,15.0,0.0,414162.59637691925,-1.053080739262875,3.531244993188382,0.32899821727869,-6.76140772724092,3.752030811735773,1.592375160569311,4.599341608121681,3.098449376704959,-1.607402385484849,-0.24818099959144854,10.092395116082864,7.3898045502890275
-414163.4296076338,0.6713383126796906,0.23061315334997615,4.0,15.0,0.0,414168.9686945498,-1.003138860073136,3.9161380058208195,0.7884859771500279,-7.534462132069117,4.140265322884489,1.2760448936318378,4.670716154248903,2.785782155511263,-1.2428539613865754,-0.4165835958994524,9.839630424152835,7.393813363519849
-414159.1940237699,0.9997923955649607,0.23061315334997615,4.0,15.0,0.0,414167.2939504355,-1.0177985963810616,3.6974179952678554,0.6798935169005987,-7.080128060501009,4.166852146471151,1.5707808872276314,4.817111967578563,3.155198932738107,-1.4579184003442307,-0.5520099225599474,10.039192304566765,7.385893725675814
-414167.7325356796,0.9658537882380787,0.23061315334997615,4.0,15.0,0.0,414172.8589890126,-0.9879431288878608,3.656049070248397,0.850463795541593,-6.9380088711996555,4.5931718007169895,1.269289363347557,4.109195569287139,3.0920410572757406,-1.4989494346347052,-0.5406467959240545,10.008569664553683,7.376534392875176
-414156.52567382675,0.9931040240311467,0.23061315334997615,4.0,15.0,0.0,414172.91866242414,-0.9950936580999123,3.7927785414100055,0.44323134041472995,-6.863464221953771,3.846090503545223,1.5990612279892715,4.5486044265376915,2.8307688640256408,-1.4893649294583673,-0.40583815715696325,10.02035421179983,7.4002913065461815
-414158.77204709203,0.9978195395844882,0.23061315334997615,4.0,15.0,0.0,414161.5897724955,-1.1518751209742057,3.721116656508574,0.6346119308957998,-6.40622639213701,3.796968762797762,1.6615877129051395,4.1922169914726615,2.925923666317789,-1.6164273498580661,-0.27759241860434747,9.801503512081913,7.380696394563179
-414158.17638263275,0.9938783066692986,0.23061315334997615,4.0,15.0,0.0,414164.1720078019,-1.1129529202719515,3.802122780099581,0.7533856592760871,-6.705386385156157,4.080168739806772,1.558811761733098,4.102544228257205,3.065447439482096,-1.6443116197400112,-0.6390970244111649,9.997122625857049,7.393365096638213
-414161.03424159513,0.9781631783997808,0.23061315334997615,4.0,15.0,0.0,414167.1404936794,-1.087034830006199,3.7119470313806286,0.5098259228893349,-6.71956709758818,3.836010116301859,1.2863619469163061,4.391477085397249,3.1161164491553115,-1.395325531108762,-0.44708984432176047,9.607358981249225,7.3953281358551815
-414158.82173146645,1.0,0.23061315334997615,3.0,7.0,0.0,414162.2688795309,-1.068291177890252,3.7120057899507546,0.48162569872137173,-6.69913262384271,3.9721764619149096,1.3358167216219454,4.449585914035625,3.0699883895983,-1.389891214166106,-0.4030907397103144,9.702018563435844,7.398519161858077
-414161.36163827474,0.9420738942191281,0.23061315334997615,4.0,15.0,0.0,414164.4888520106,-0.9616950466873184,3.6737656593375365,0.7593440309578331,-6.7073870323937514,3.915881191918783,1.8558285304921667,4.366017591272924,2.766230388362266,-1.393147571411048,-0.24725294260041422,10.302775382313515,7.384569948611476
-414158.99105995044,0.6957820334845763,0.23061315334997615,4.0,15.0,0.0,414170.4524372046,-1.0289507063069474,3.6907701012775376,0.39106385234568664,-7.187057348474046,3.839732552038854,1.4875524391229944,4.921441468727522,3.0432921376024695,-1.366019185932138,-0.3562907043284674,9.68029916798132,7.398134027466002
